所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,用例状态,结果
微信商品登记(#320),点击URL，进入商品登记页面,                          ,"1、微信扫描标签
2、点击URL                            ","2、1）进入登记页面  
   2）展示产品主图，品牌名、产品名称、产品型号及登记必填项                                                                                                                                               ",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),消费者的姓名,                          ,"1、微信扫描标签
2、点击URL
3、输入消费者姓名                     ","
3、最多只能输入5字",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),消费者住址,                          ,"1、微信扫描标签
2、点击URL
3、输入消费者住址                   ","
3、最多只能输入30字",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),您的姓名,                          ,"1、微信扫描标签
2、点击URL
3、输入您的姓名                 ","
3、最多只能输入5字",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),产品型号,                          ,"1、微信扫描标签
2、点击URL
3、输入产品型号             ","
3、最多只能输入50字",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),购买数量,                          ,"1、微信扫描标签
2、点击URL
3、输入购买数量           ","
3、最多只能输入4字",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),备注,                          ,"1、微信扫描标签
2、点击URL
3、输入备注           ","
3、最多只能输入200字",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),手机号码为空，点击获取验证码,                          ,"1、微信扫描标签
2、点击URL
3、点击获取验证码
4、点击提交                         ","
3、提示请填写手机号码
4、提示请填写验证码",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),手机号码格式错误，点击获取验证码,                          ,"1、微信扫描标签
2、点击URL
3、点击获取验证码
4、点击提交                         ","
3、1）提示请填写正确的手机号码
   3）不能发送验证码
4、提示请填写验证码",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),点击获取验证码,                          ,"1、微信扫描标签
2、点击URL
3、点击获取验证码
4、点击提交                         ","
3、「获取」按钮变为60秒的倒计时
4、提示请填写验证码",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),验证码错误,                          ,"1、微信扫描标签
2、点击URL
3、发送验证码
4、点击提交                         ",4、提示“验证码错误”,,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),必填项至少一项未填写,,"1、微信扫描标签
2、点击URL
3、点击提交                            ","3、1）失焦后对应的{$字段名}不能为空！
   2）不能点击提交  ",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),身份为“我是消费者”，商品已售出,,"1、微信扫描标签
2、点击URL
3、选择“我是消费者”
4、填写信息
5、点击提交                            ","2、不展示商品状态
5、对商品进行登记操作",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),身份为“我是消费者”，选择安装,商品未售出,"1、微信扫描标签
2、点击URL
3、选择“我是消费者”
4、选择“安装”
5、点击提交                            ","5、1）提示商品登记成功，商品安装且售出
   2）收到购买短信，且正品控有购买确认推送",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),身份为“我是消费者”，选择不安装,商品未售出,"1、微信扫描标签
2、点击URL
3、选择“我是消费者”
4、填写信息
5、点击提交                            ","5、1）提示商品登记成功，商品只售出
   2）收到购买短信，且正品控有购买确认推送",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),身份为“我是商家”，商品已售出,,"1、微信扫描标签
2、点击URL
3、选择“我是商家”
4、填写信息
5、点击提交                            ","2、不展示商品状态
5、对商品进行登记操作",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),身份为“我是商家”，选择我是安装师傅,商品未售出,"1、微信扫描标签
2、点击URL
3、选择“我是安装师傅”
4、填写信息
5、点击提交                            ","5、1）提示商品登记成功，商品安装且售出
   2）收到购买短信（消费者手机号），且正品控有购买确认推送",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),身份为“我是商家”，选择我是销售人员,商品未售出,"1、微信扫描标签
2、点击URL
3、选择“我是商家”
4、填写信息
5、点击提交                            ","5、1）提示商品登记成功，商品只售出
   2）收到购买短信（消费者手机号），且正品控有购买确认推送",,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),网络断开后，点击提交,,"1、微信扫描标签
2、点击URL
3、填写信息
4、点击提交                            ",4、提示网络异常,,3,功能测试,"
功能测试阶段",正常,
微信商品登记(#320),提交请求失败,,"1、微信扫描标签
2、点击URL
3、填写信息
4、点击提交                            ","4、1）进入网路异常页面
   2）点击返回后，之前保留的数据还存在",,3,功能测试,"
功能测试阶段",正常,
